left_unit_id,right_unit_id,pair_scope,left_containment,right_containment,matching_shingles,exact_normalized_text,preferred_unit_id,decision_effect
wikisource:record:itws:483678,bibit:sonnet:bibit000807:sonnet_0202,sonnet_cross_role,0.917431,0.925926,100,false,bibit:sonnet:bibit000807:sonnet_0202,exclude_role_mismatch
wikisource:record:itws:483715,bibit:sonnet:bibit001036:sonnet_0062,sonnet_cross_role,0.754386,0.819048,86,false,bibit:sonnet:bibit001036:sonnet_0062,segment_quarantine_7b
wikisource:record:itws:483716,bibit:sonnet:bibit001036:sonnet_0063,sonnet_cross_role,0.917526,1.000000,89,false,bibit:sonnet:bibit001036:sonnet_0063,exclude_role_mismatch
wikisource:record:itws:483719,bibit:sonnet:bibit001036:sonnet_0068,sonnet_cross_role,0.917526,1.000000,89,false,bibit:sonnet:bibit001036:sonnet_0068,exclude_role_mismatch
wikisource:record:itws:483724,bibit:sonnet:bibit001036:sonnet_0081,sonnet_cross_role,0.816327,0.898876,80,false,bibit:sonnet:bibit001036:sonnet_0081,exclude_role_mismatch
wikisource:record:itws:483727,bibit:sonnet:bibit001036:sonnet_0107,sonnet_cross_role,0.872549,0.917526,89,false,bibit:sonnet:bibit001036:sonnet_0107,exclude_role_mismatch
wikisource:record:itws:483733,bibit:sonnet:bibit001036:sonnet_0122,sonnet_cross_role,0.785714,0.827957,77,false,bibit:sonnet:bibit001036:sonnet_0122,segment_quarantine_7b
wikisource:record:itws:483734,bibit:sonnet:bibit001036:sonnet_0123,sonnet_cross_role,0.810000,0.843750,81,false,bibit:sonnet:bibit001036:sonnet_0123,exclude_role_mismatch
wikisource:record:itws:483735,bibit:sonnet:bibit001036:sonnet_0124,sonnet_cross_role,0.858696,0.908046,79,false,bibit:sonnet:bibit001036:sonnet_0124,exclude_role_mismatch
wikisource:record:itws:483736,bibit:sonnet:bibit001036:sonnet_0125,sonnet_cross_role,0.898876,0.952381,80,false,bibit:sonnet:bibit001036:sonnet_0125,exclude_role_mismatch
wikisource:record:itws:483745,bibit:sonnet:bibit001036:sonnet_0135,sonnet_cross_role,0.872549,0.917526,89,false,bibit:sonnet:bibit001036:sonnet_0135,exclude_role_mismatch
wikisource:record:itws:483797,bibit:sonnet:bibit001036:sonnet_0143,sonnet_cross_role,0.919192,1.000000,91,false,bibit:sonnet:bibit001036:sonnet_0143,exclude_role_mismatch
wikisource:record:itws:483798,bibit:sonnet:bibit001036:sonnet_0144,sonnet_cross_role,0.930693,1.000000,94,false,bibit:sonnet:bibit001036:sonnet_0144,exclude_role_mismatch
wikisource:record:itws:483801,bibit:sonnet:bibit001036:sonnet_0147,sonnet_cross_role,0.843137,0.868687,86,false,bibit:sonnet:bibit001036:sonnet_0147,exclude_role_mismatch
wikisource:record:itws:483803,bibit:sonnet:bibit001036:sonnet_0149,sonnet_cross_role,0.850000,0.913978,85,false,bibit:sonnet:bibit001036:sonnet_0149,exclude_role_mismatch
wikisource:record:itws:483804,bibit:sonnet:bibit001036:sonnet_0150,sonnet_cross_role,0.800000,0.847059,72,false,bibit:sonnet:bibit001036:sonnet_0150,exclude_role_mismatch
wikisource:record:itws:484108,bibit:sonnet:bibit000807:sonnet_0212,sonnet_cross_role,0.870000,0.878788,87,false,bibit:sonnet:bibit000807:sonnet_0212,exclude_role_mismatch
