author_label_id,raw_author_label,canonical_author_key,author_group_id,representative_author_label,resolution_status,sonnet_universe_count,new_candidate_count,v6_presence,protected_v6_presence
author_label:8ea9e3aca015eb78,Ormonte Pereteo,ormonte pereteo,author:c9b95d3c913b97df,Ormonte Pereteo,deterministic_resolved_author,17,17,false,false
author_label:b24f60920594b1f6,Orsatto Cidario,cidario orsatto,author:d6bd1e76a19f17e3,Orsatto Cidario,deterministic_resolved_author,30,30,false,false
author_label:305659986af60ec6,Ottinio Corineo,corineo ottinio,author:fbf536d616f4d007,Ottinio Corineo,deterministic_resolved_author,19,19,false,false
author_label:9b63b32c7c62d7f6,Palemone Licurio,licurio palemone,author:ba74bbd7169f6a3c,Palemone Licurio,deterministic_resolved_author,18,18,false,false
author_label:f3fc6a300f8fcf99,Paolo Falconieri,falconieri paolo,author:e7e56ac385221168,Paolo Falconieri,deterministic_resolved_author,1,1,false,false
author_label:fb9e378edfe57a9f,Papa Urbano VIII,papa urbano viii,author:c67802324cace396,Papa Urbano VIII,deterministic_resolved_author,3,3,false,false
author_label:7c446f1e4ac12fb7,"Parini, Giuseppe",giuseppe parini,author:131f1762b24c24f4,"Parini, Giuseppe",deterministic_resolved_author,110,110,false,false
author_label:2260217c04a3b070,Parlantino da Firenze,firenze parlantino,author:23705442a0ca2965,Parlantino da Firenze,deterministic_resolved_author,1,1,false,false
author_label:d59f84c1f2dbac29,Paulo Gonçalves de Andrada,andrada goncalves paulo,author:23c12070f7755030,Paulo Gonçalves de Andrada,deterministic_resolved_author,1,1,false,false
author_label:bebc4bee19381fc8,"Pegolotti, Giovanni",giovanni pegolotti,author:043145968168a7f2,"Pegolotti, Giovanni",deterministic_resolved_author,7,7,false,false
author_label:2d743dcd6996970e,Perideo Trapezunzio,perideo trapezunzio,author:517b6bf0b0297b1a,Perideo Trapezunzio,deterministic_resolved_author,18,18,false,false
author_label:605c6b5b00e5339b,"Petrarca, Francesco",francesco petrarca,author:48812d65aff0d35e,Francesco Petrarca,deterministic_resolved_author_alias,225,220,true,true
author_label:97553e939fa25203,"Petroni, Ludovico",ludovico petroni,author:9528e30064b3d0c9,"Petroni, Ludovico",deterministic_resolved_author,2,2,false,false
author_label:f4ee1b7a12d0fe82,"Pico della Mirandola, Gianfrancesco",gianfrancesco mirandola pico,author:8c3839f13dddc374,"Pico della Mirandola, Gianfrancesco",deterministic_resolved_author,44,44,false,false
author_label:e92694dd0923b8a3,"Pico della Mirandola, Giovanni",giovanni mirandola pico,author:3676185298ef4cbb,"Pico della Mirandola, Giovanni",deterministic_resolved_author,20,0,false,false
author_label:0650d35061561acd,Pier della Vigna,pier vigna,author:62d756d2c8a05d11,Pier della Vigna,deterministic_resolved_author,1,0,true,false
author_label:572930bf5f34019e,Pier Giuseppe Giustiniani,giuseppe giustiniani pier,author:a03a60208037de15,Pier Giuseppe Giustiniani,deterministic_resolved_author,6,6,false,false
author_label:08689cd0bfe77528,Pier Jacopo Martello,jacopo martello pier,author:c06c7b41609ba44d,Pier Jacopo Martello,deterministic_resolved_author,1,1,false,false
author_label:cec31027064cff69,Pieraccio Tedaldi,pieraccio tedaldi,author:665da41e8c510e19,Pieraccio Tedaldi,deterministic_resolved_author,30,30,false,false
author_label:c4c4de1c6f652d37,Pietro Aretino,aretino pietro,author:a99295d5c34817d6,Pietro Aretino,deterministic_resolved_author_alias,25,25,false,false
author_label:366ffbd1bd8c767f,Pietro Bembo,bembo pietro,author:80e9a2a4b40c4108,Pietro Bembo,deterministic_resolved_author_alias,2,2,false,false
author_label:0ccab965c5552e59,Pietro Casaburi Urries,casaburi pietro urries,author:3def7d7523e9ca84,Pietro Casaburi Urries,deterministic_resolved_author,8,8,false,false
author_label:4288c3c8b4cf4662,Pietro dei Faitinelli,faitinelli pietro,author:6fac33f9d2f1cfbe,Pietro dei Faitinelli,deterministic_resolved_author,15,15,false,false
author_label:51eae4db0668a49c,Pietro Michiele,michiele pietro,author:4a42dc603a0577a4,Pietro Michiele,deterministic_resolved_author,4,4,false,false
author_label:1fed87c67946a212,"Pigli, Giovanni di Iacopo",giovanni jacopo pigli,author:260a383934aef8ab,"Pigli, Giovanni di Iacopo",deterministic_resolved_author,10,10,false,false
author_label:c81a8c53a2777c13,"Pigna (Giovan Battista Nicolucci, detto il)",battista detto giovan nicolucci pigna,author:bdaef4c50ce197b4,"Pigna (Giovan Battista Nicolucci, detto il)",deterministic_resolved_author,211,211,false,false
author_label:d5c1a0732590e22e,"Pignatelli, Ascanio",ascanio pignatelli,author:1c75d8b13cee76bd,"Pignatelli, Ascanio",deterministic_resolved_author,129,129,false,false
author_label:3b9e74762fd059da,"Pindemonte, Ippolito",ippolito pindemonte,author:e1b933d4481cb31b,Ippolito Pindemonte,deterministic_resolved_author_alias,1,1,false,false
author_label:2e01e9ee4c2ea0f0,Pisandro Antiniano,antiniano pisandro,author:85ef226cc785a503,Pisandro Antiniano,deterministic_resolved_author,29,29,false,false
author_label:2d438a8f3ff9fb68,Placisto Amitaonio,amitaonio placisto,author:2b691e79793c3763,Placisto Amitaonio,deterministic_resolved_author,3,3,false,false
author_label:886a2b133a51c6b0,Poesie anonime,,,,generic_author_work_grouped,68,68,false,false
author_label:d410bad4448d3d27,Poesie di dubbia attribuzione,attribuzione dubbia poesie,author:fa1c18afa23fe1be,Poesie di dubbia attribuzione,deterministic_resolved_author,3,3,false,false
author_label:e4ad6260f2d48fc7,Polibo Emonio,emonio polibo,author:4b7cb4dc2b99dfcc,Polibo Emonio,deterministic_resolved_author,41,41,false,false
author_label:d95e0543c0b65d09,"Poliziano, Angelo",angelo poliziano,author:2a33749392271cad,Angelo Poliziano,deterministic_resolved_author_alias,1,1,false,false
