record_id,file_name,download_url,content_type,raw_byte_count,raw_sha256,cache_path,acquisition_status,error
ota_A14169,A14169.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A14169/A14169.xml?sequence=6&isAllowed=y,text/xml,347975,10bdb1cbf9631226b2021743d01f6039eda5cc81785809877e2ebe88eb3adc81,data/local/ilc_ota_source_audit_v1/payloads/ota_A14169_002_A14169.xml.bin,cached_verified,
ota_A18325,A18325.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A18325/A18325.epub?sequence=4&isAllowed=y,application/epub+zip,52503,66e8add924932c39b8149fc7e38bb4cab613c1119a3dbbf37c13b640ba88f283,data/local/ilc_ota_source_audit_v1/payloads/ota_A18325_001_A18325.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A18325,A18325.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A18325/A18325.xml?sequence=7&isAllowed=y,text/xml,162110,9dcb9a2d04cfbb4c385d060c41ffee131fac38bafefa5c3a129e8c0eacdc0f05,data/local/ilc_ota_source_audit_v1/payloads/ota_A18325_002_A18325.xml.bin,cached_verified,
ota_A22695,A22695.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A22695/A22695.epub?sequence=4&isAllowed=y,application/epub+zip,15750,ad3f0c071b90de5e7750f35a3ed02c40aaf288f86949e9b9809dca34cf57bb05,data/local/ilc_ota_source_audit_v1/payloads/ota_A22695_001_A22695.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A22695,A22695.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A22695/A22695.xml?sequence=6&isAllowed=y,text/xml,18670,43ae93f71929eeee5492607272c395e954f5bde9f1fc382d5e1d5be92600310d,data/local/ilc_ota_source_audit_v1/payloads/ota_A22695_002_A22695.xml.bin,cached_verified,
ota_A72536,A72536.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A72536/A72536.epub?sequence=4&isAllowed=y,application/epub+zip,76783,e0adeb90bfc6e9515ec508f3210c2fc08b7f830d525b7d5858d014386c76f996,data/local/ilc_ota_source_audit_v1/payloads/ota_A72536_001_A72536.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A72536,A72536.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A72536/A72536.xml?sequence=6&isAllowed=y,text/xml,202869,b4b8eeb96493baecfcfe3aafdc2966bf7576988b017c1cc40e0af91fb95894a4,data/local/ilc_ota_source_audit_v1/payloads/ota_A72536_002_A72536.xml.bin,cached_verified,
ota_A91763,A91763.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A91763/A91763.epub?sequence=4&isAllowed=y,application/epub+zip,17963,2f6ae5e5b8cb630867a542e65cb9e50203c25c4068b8a101f28e0e113011383a,data/local/ilc_ota_source_audit_v1/payloads/ota_A91763_001_A91763.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A91763,A91763.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A91763/A91763.xml?sequence=6&isAllowed=y,text/xml,21704,b7793715165fe7c3a8a56d74a1bd758cd8e24e03a330a69b805c69e878613d0a,data/local/ilc_ota_source_audit_v1/payloads/ota_A91763_002_A91763.xml.bin,cached_verified,
ota_B08182,B08182.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/B08182/B08182.epub?sequence=4&isAllowed=y,application/epub+zip,122260,b5c13539e75e322b4bdeabbc900ff2c656657b014992c1baffcfed2a4cafddb0,data/local/ilc_ota_source_audit_v1/payloads/ota_B08182_001_B08182.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_B08182,B08182.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/B08182/B08182.xml?sequence=6&isAllowed=y,text/xml,370448,6a159f5daae8c72d5ee1ccbed57aa8c0e737b26a755189485fa38432aca6241c,data/local/ilc_ota_source_audit_v1/payloads/ota_B08182_002_B08182.xml.bin,cached_verified,
