object_id,title,authors,assigned_role,audited_route,source_audit_status,source_audit_flags,decision,final_role,cleaning_policy,included_characters,duplicate_of_object_id,reason,landing_page_url,tei_sha256
bibit000120,Relatione de S. Alvise Contarini Kr. (1650),"Contarini, Alvise",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,182061,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000120,88904c28d37880a147741768ac90fe8be8084c005bc6fe2d91967c67b62a3a3b
bibit001617,Relazione di Costantinopoli (1636-1641),"Contarini, Alvise",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,244854,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001617,2a45e10eef07a27a4c3a33bb4afb696e7816b73a0cb8c7da4ecb11d85b0a79d2
bibit000327,Relazione di Francia di Alvise Contarini (1634-1637),"Contarini, Alvise",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,19928,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000327,dd9c6b42e30e9bba9431b06bc9f6ec2f0593921429c91d86da0436b700723ec6
bibit001548,Relazione di Francia di Michele Morosini (1648-1653),"Contarini, Alvise",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,87132,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001548,da028a4128165a9c68c46eccc7b30b5d78af65740dcc2fe1cf8d4e74bb8247af
bibit000796,Relazione d'Austria,"Contarini, Carlo",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,6513,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000796,44d711f37b1f9fcb83a57b5daab6cf53c741edde9efa0c6f689359b070fdcda0
bibit000959,Relazione di Francia (1686),"Contarini, Domenico",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,80336,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000959,78c2dd7c7824ec19cd47d194e4c651200ff4a277fce080b7e1fa810df40f1e81
bibit000604,Relazione di Germania (1685),"Contarini, Domenico",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,69236,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000604,900b93705823b23275795d21eadf64735fd5894e29f53c5b08b5150008bfd8f4
bibit001112,Relazione di Germania,"Contarini, Gaspare",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,102194,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001112,cea0389cf1bc6b4008a5ba9e9fe72c32fd8473010b3d423714873dd8b805cd09
bibit001312,Relazione di Lorenzo Contarini (1548),"Contarini, Lorenzo",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,159144,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001312,5b57eae3313b61043632fe72710ee64c1cc837676b928ac69d009b12d93b2b15
bibit001418,Estratto della Relazione di Germania,"Contarini, Marcantonio",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,12668,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001418,3a17d8c55e30ffa1166df5558458f208a5c383bb33ddbf331e0900a77443d366
